city_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,avera,US,60.39,light rain,33.194,-82.5271,No hotel found
382,corowa,AU,73.58,moderate rain,-36.0333,146.3833,No hotel found
383,mimongo,GA,69.31,overcast clouds,-1.6195,11.6068,No hotel found
390,monrovia,LR,78.69,few clouds,6.3005,-10.7969,Bella Casa Hotel
391,bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
393,bodden town,KY,82.0,few clouds,19.2833,-81.25,Turtle Nest Inn
395,san carlos de bariloche,AR,80.35,few clouds,-41.1456,-71.3082,Kronos
397,dekar,BW,74.34,scattered clouds,-21.5333,21.9333,No hotel found
398,surt,LY,60.1,clear sky,31.2089,16.5887,فندق المدينة-سرت
399,alofi,NU,84.09,light rain,-19.0595,-169.9187,No hotel found
403,tautira,PF,80.37,few clouds,-17.7333,-149.15,No hotel found
407,soyo,AO,79.05,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
409,kudahuvadhoo,MV,80.55,overcast clouds,2.6708,72.8944,No hotel found
414,diu,IN,61.97,clear sky,20.7141,70.9822,Hotel Ankur
415,taoudenni,ML,69.24,broken clouds,22.6783,-3.9836,No hotel found
419,mbour,SN,74.25,overcast clouds,14.422,-16.9638,Keur Sarafina Mbour
421,villa carlos paz,AR,87.08,scattered clouds,-31.4241,-64.4978,Hoterl Victor
423,parkes,AU,86.36,scattered clouds,-33.1333,148.1833,Commercial Hotel
428,izmir,TR,60.31,scattered clouds,38.4622,27.0923,Elara Hotel
431,maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
432,marawi,PH,69.55,broken clouds,7.9986,124.2928,Marawi Resort Hotel
433,ormara,PK,66.31,scattered clouds,25.2088,64.6357,No hotel found
434,kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
435,taltal,CL,70.52,clear sky,-25.4,-70.4833,Hostería Taltal
437,namatanai,PG,80.69,overcast clouds,-3.6667,152.4333,Namatanai Hotel
439,nelson bay,AU,80.11,clear sky,-32.7167,152.15,No hotel found
440,bachaquero,VE,80.11,broken clouds,9.9694,-71.1494,No hotel found
444,pozo colorado,PY,92.25,broken clouds,-23.4923,-58.7972,No hotel found
447,boda,CF,75.92,broken clouds,4.3189,17.4695,No hotel found
450,bandar-e lengeh,IR,68.04,light rain,26.5579,54.8807,Old owner do not like foreigners hotel
453,isangel,VU,78.91,light intensity drizzle,-19.55,169.2667,Tanna Lodge
457,coihaique,CL,83.01,clear sky,-45.5752,-72.0662,No hotel found
459,umm lajj,SA,67.57,overcast clouds,25.0213,37.2685,No hotel found
460,asfi,MA,61.56,broken clouds,32.2994,-9.2372,Golden Tulip Farah Safi
461,touba,CI,75.54,clear sky,8.2833,-7.6833,No hotel found
462,san cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Terra Sur
465,nakhon thai,TH,66.33,few clouds,17.1006,100.8374,Chantuk Resort
466,saldanha,ZA,62.65,broken clouds,-33.0117,17.9442,Hoedjesbaai
468,kalmunai,LK,75.13,overcast clouds,7.4167,81.8167,Saji new food
470,menongue,AO,63.45,moderate rain,-14.6585,17.691,No hotel found
471,basco,PH,72.9,overcast clouds,20.4487,121.9702,Tawsen Hotel
474,caucaia,BR,82.35,scattered clouds,-3.7361,-38.6531,No hotel found
476,ouesso,CG,80.47,overcast clouds,1.6136,16.0517,Auberge Nianina
478,manzanillo,CU,74.07,clear sky,20.3433,-77.1167,Hotel Venus
480,lahij,YE,68.9,scattered clouds,13.1667,44.5833,No hotel found
481,benghazi,LY,60.42,clear sky,32.1167,20.0667,ترجاب
484,lufilufi,WS,87.58,light rain,-13.8745,-171.5986,No hotel found
486,charlestown,AU,80.02,clear sky,-32.95,151.6667,Warners Bay Hotel
488,anloga,GH,80.96,scattered clouds,5.7947,0.8973,Hotel de White House
489,belmonte,BR,77.02,clear sky,-15.8631,-38.8828,No hotel found
492,puerto del rosario,ES,62.35,scattered clouds,28.5004,-13.8627,Hotel Tamasite
494,houma,US,77.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
496,ahuimanu,US,82.85,few clouds,21.4447,-157.8378,No hotel found
498,gambo,CF,70.05,overcast clouds,4.6482,22.2633,No hotel found
502,inhambane,MZ,78.94,broken clouds,-23.865,35.3833,Hotel de Inhambane
503,calama,CL,73.89,clear sky,-22.4667,-68.9333,Apart Hotel Geotel Calama
504,nhulunbuy,AU,81.21,light rain,-12.2333,136.7667,No hotel found
506,byron bay,AU,76.71,broken clouds,-28.65,153.6167,Lord Byron Resort
507,nabire,ID,77.16,overcast clouds,-3.3667,135.4833,Hotel Anggrek
510,antalaha,MG,73.15,light rain,-14.9003,50.2788,Hôtel Florida
512,sao raimundo nonato,BR,76.5,light rain,-9.0153,-42.6994,Pousada Zabelê
513,kruisfontein,ZA,73.89,overcast clouds,-34.0033,24.7314,No hotel found
514,campo grande,BR,72.95,broken clouds,-20.4428,-54.6464,Hotel Metropolitan
515,santa maria,BR,88.9,few clouds,-29.6842,-53.8069,Hotel Morotin
516,qeshm,IR,66.07,light rain,26.9581,56.2719,هتل آپادانا
517,hwange,ZW,69.57,broken clouds,-18.3693,26.5019,No hotel found
520,boma,GH,73.67,broken clouds,7.0805,-2.1697,No hotel found
521,karratha,AU,82.63,overcast clouds,-20.7377,116.8463,Karratha International Hotel
523,lorengau,PG,81.88,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
524,kupang,ID,79.38,scattered clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
529,bilma,NE,62.49,few clouds,18.6853,12.9164,No hotel found
530,punto fijo,VE,78.64,few clouds,11.6956,-70.1996,Hotel Caribe
531,dosso,NE,68.67,clear sky,13.049,3.1937,Galaxy Hotel
532,doctor juan leon mallorquin,PY,82.13,broken clouds,-25.4,-55.2667,No hotel found
533,koutiala,ML,75.18,clear sky,12.3917,-5.4642,La Chaumière
534,stephenville,US,78.93,clear sky,32.2207,-98.2023,No hotel found
535,kieta,PG,82.69,light rain,-6.2167,155.6333,No hotel found
537,kita,ML,74.73,broken clouds,13.0349,-9.4895,Hotel Chats Rouges
542,le vauclin,MQ,76.84,broken clouds,14.5452,-60.8388,Hôtel Macabou
544,adrar,MR,65.82,overcast clouds,20.5022,-10.0711,No hotel found
545,auki,SB,81.45,moderate rain,-8.7676,160.7034,No hotel found
547,camocim,BR,79.27,broken clouds,-2.9022,-40.8411,Hotel Camocim
552,waipawa,NZ,65.84,clear sky,-41.4122,175.5153,No hotel found
553,dire dawa,ET,62.67,broken clouds,9.5931,41.8661,Adis Abeba
554,sijunjung,ID,71.46,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
559,puerto leguizamo,CO,74.52,heavy intensity rain,-0.1934,-74.7819,Hotel Girasoles
563,ancud,CL,60.96,overcast clouds,-41.8697,-73.8203,Cabañas
564,san ignacio,BZ,87.94,few clouds,17.1561,-89.0714,Rainforest Haven Inn
565,vao,NC,75.51,overcast clouds,-22.6667,167.4833,Nataiwatch
567,palmas,BR,78.67,light rain,-10.2128,-48.3603,Hotel Triângulo Mineiro
568,chokwe,MZ,77.45,overcast clouds,-24.5333,32.9833,Limpopo Hotel
575,salinopolis,BR,77.52,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
576,zabid,YE,75.72,few clouds,14.1951,43.3152,No hotel found
577,hadejia,NG,66.85,clear sky,12.4498,10.0444,No hotel found
578,inongo,CD,72.0,overcast clouds,-1.95,18.2667,Chez LELE IYOLO
583,rio gallegos,AR,64.45,broken clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
585,kovur,IN,66.49,clear sky,14.4833,79.9833,No hotel found
590,upata,VE,81.19,overcast clouds,8.0086,-62.3989,Hotel Garibardi
593,beloha,MG,73.92,clear sky,-25.1667,45.05,No hotel found
594,chongwe,ZM,64.44,light rain,-15.3292,28.682,No hotel found
595,wodonga,AU,74.26,overcast clouds,-36.1167,146.8833,Quest Apartments
597,tanhacu,BR,70.77,clear sky,-14.0214,-41.2481,Tanhaçu Palace
598,san vicente de canete,PE,71.13,overcast clouds,-13.0751,-76.3835,Hotel Colibrí
602,nishihara,JP,60.08,broken clouds,26.1842,127.7558,ユインチホテル南城
605,goma,CD,61.56,broken clouds,-1.6792,29.2228,Hôtel Case Depart
606,qui nhon,VN,70.84,overcast clouds,13.7667,109.2333,No hotel found
607,yulara,AU,81.43,few clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
611,libreville,GA,79.77,overcast clouds,0.3925,9.4537,No hotel found
612,bourail,NC,75.09,overcast clouds,-21.5667,165.4833,Hôtel Restaurant La Néra
614,samarai,PG,83.5,broken clouds,-10.6167,150.6667,No hotel found
615,machinga,MW,67.71,overcast clouds,-15.1685,35.3,No hotel found
616,port augusta,AU,71.28,overcast clouds,-32.5,137.7667,Hotel Commonwealth
618,rantepao,ID,68.04,overcast clouds,-2.9701,119.8978,Hotel Indra Toraja
619,kudat,MY,73.33,few clouds,6.8837,116.8477,Hotel Ria
621,sao jose da coroa grande,BR,78.46,overcast clouds,-8.8978,-35.1478,Hotel do Sol
622,prado,BR,75.88,scattered clouds,-17.3411,-39.2208,Pousada Recanto do Prado
623,jiwani,PK,68.81,scattered clouds,25.05,61.7417,No hotel found
626,noumea,NC,82.38,overcast clouds,-22.2763,166.4572,Hotel Gondwana
633,manggar,ID,77.74,overcast clouds,-2.8833,108.2667,No hotel found
634,merauke,ID,77.85,overcast clouds,-8.4667,140.3333,No hotel found
635,grajau,BR,72.9,overcast clouds,-5.8194,-46.1386,Torre Palace Hotel
636,buluang,PH,75.18,overcast clouds,13.3068,123.3425,No hotel found
638,clarence town,AU,80.94,clear sky,-32.5833,151.7833,Erringhi Hotel
641,pout,SN,74.16,clear sky,14.7739,-17.0603,No hotel found
642,cockburn town,TC,75.16,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
643,acapulco,MX,80.31,overcast clouds,16.8634,-99.8901,Hotel del Valle
644,catamarca,AR,91.06,light rain,-28.4696,-65.7852,Hotel de Turismo
646,victoria point,AU,79.18,broken clouds,-27.5833,153.3,Seminara Appartments
648,dennery,LC,77.09,light rain,13.8996,-60.8879,No hotel found
649,mitsamiouli,KM,80.73,light rain,-11.3847,43.2844,Hotel le Paradis
650,muncar,ID,76.62,overcast clouds,-8.4333,114.3333,No hotel found
651,kampot,KH,75.25,broken clouds,10.6167,104.1833,Sambor Sambat Guesthouse
652,adre,TD,67.73,overcast clouds,13.4667,22.2,No hotel found
654,pocone,BR,71.58,very heavy rain,-16.2567,-56.6228,Andirah
655,gouloure,BF,71.33,few clouds,12.2306,-1.9289,No hotel found
656,lotofaga,WS,87.58,light rain,-13.9764,-171.8578,No hotel found
657,niquelandia,BR,73.35,scattered clouds,-14.4739,-48.4597,Serrano Hotel
659,sumenep,ID,78.4,overcast clouds,-7.0167,113.8667,No hotel found
661,rawson,AR,76.08,few clouds,-43.3002,-65.1023,Hotel Deportivo
662,cabedelo,BR,75.87,light rain,-6.9811,-34.8339,No hotel found
663,caravelas,BR,75.74,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
664,chabahar,IR,68.49,clear sky,25.2919,60.643,هتل سپیده
665,uige,AO,64.72,broken clouds,-7.6087,15.0613,No hotel found
669,natitingou,BJ,72.99,clear sky,10.3042,1.3796,CPNO
672,pitimbu,BR,75.79,light rain,-7.4706,-34.8086,Pousada Brisa Mar
