City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
32,krasnyy chikoy,RU,50.3643,108.7512,2.32,97,100,3.69,overcast clouds
33,hobart,AU,-42.8794,147.3294,66.06,89,75,8.05,broken clouds
34,birjand,IR,32.8663,59.2211,37.87,87,100,16.11,light rain
35,komsomolskiy,UZ,40.4272,71.7189,14.72,79,3,4.61,mist
36,bredasdorp,ZA,-34.5322,20.0403,69.91,94,90,6.96,overcast clouds
37,bintulu,MY,3.1667,113.0333,73.81,100,20,3.44,few clouds
38,emerald,AU,-23.5333,148.1667,72.34,85,90,12.57,overcast clouds
39,lata,PT,40.1629,-8.3327,47.07,86,100,16.6,light rain
40,longido,TZ,-2.7333,36.6833,63.03,68,99,7.74,overcast clouds
41,santa cruz,BO,-17.8,-63.1667,80.65,78,75,8.05,broken clouds
42,mpongwe,ZM,-13.5091,28.155,61.56,98,98,2.68,overcast clouds
43,port lincoln,AU,-34.7333,135.8667,61.86,73,100,17.98,overcast clouds
44,port alfred,ZA,-33.5906,26.891,76.17,96,97,1.99,overcast clouds
45,busselton,AU,-33.65,115.3333,58.39,58,40,16.15,scattered clouds
46,talnakh,RU,69.4865,88.3972,-31.07,85,24,7.7,few clouds
47,hambantota,LK,6.1241,81.1185,74.91,78,81,14.05,moderate rain
48,sao felix do xingu,BR,-6.6447,-51.995,74.1,88,91,2.26,overcast clouds
49,bereda,ES,43.2686,-7.5406,41.41,100,98,7.72,light snow
50,te anau,NZ,-45.4167,167.7167,69.96,52,28,0.54,scattered clouds
51,yellowknife,CA,62.456,-114.3525,10.92,85,75,6.91,light snow
52,saint-augustin,CA,51.226,-58.6502,36.7,100,100,15.57,overcast clouds
53,thompson,CA,55.7435,-97.8558,14.16,85,100,0.0,light snow
54,hermanus,ZA,-34.4187,19.2345,73.8,86,58,7.14,broken clouds
55,mana,GF,5.6592,-53.7767,74.77,85,67,7.49,broken clouds
56,puerto ayora,EC,-0.7393,-90.3518,82.36,90,81,4.0,broken clouds
57,jalu,LY,29.0331,21.5482,57.15,45,0,9.46,clear sky
58,tshela,CD,-4.9833,12.9333,72.5,98,100,0.36,overcast clouds
59,kavieng,PG,-2.5744,150.7967,79.97,77,100,4.18,overcast clouds
60,souillac,MU,-20.5167,57.5167,77.25,85,95,18.03,light rain
61,tasiilaq,GL,65.6145,-37.6368,14.16,80,100,11.21,overcast clouds
62,okhotsk,RU,59.3833,143.3,-20.78,95,100,7.83,overcast clouds
63,new norfolk,AU,-42.7826,147.0587,65.71,67,100,3.0,overcast clouds
64,arcachon,FR,44.5875,-1.0519,41.41,100,75,6.91,broken clouds
65,atuona,PF,-9.8,-139.0333,78.49,77,25,18.52,light rain
66,suhbaatar,MN,50.2314,106.2078,-1.75,100,100,2.19,overcast clouds
67,yumen,CN,40.2833,97.2,9.45,68,0,29.73,clear sky
68,geraldton,AU,-28.7667,114.6,72.01,37,0,17.27,clear sky
69,saint-philippe,RE,-21.3585,55.7679,80.19,81,99,14.12,overcast clouds
70,padang,ID,-0.9492,100.3543,75.25,91,100,3.91,overcast clouds
71,kitimat,CA,54.0524,-128.6534,37.78,32,100,1.14,moderate rain
72,sola,VU,-13.8833,167.55,81.03,79,91,22.3,overcast clouds
73,luanda,AO,-8.8368,13.2343,80.6,83,40,9.22,light rain
74,barrow,US,71.2906,-156.7887,-7.58,77,100,19.57,overcast clouds
75,chuy,UY,-33.6971,-53.4616,71.1,74,0,11.72,clear sky
76,provideniya,RU,64.3833,-173.3,-9.29,64,0,15.66,clear sky
77,bonfim,BR,3.0833,-59.95,82.08,63,96,5.59,overcast clouds
78,cabo san lucas,MX,22.8909,-109.9124,76.6,56,40,19.57,scattered clouds
79,asosa,ET,10.0667,34.5333,64.62,44,8,3.22,clear sky
80,veraval,IN,20.9,70.3667,64.18,33,2,9.73,clear sky
81,labuhan,ID,-6.8844,112.2051,76.89,87,100,6.6,overcast clouds
82,hobyo,SO,5.3505,48.5268,75.83,77,96,17.85,overcast clouds
83,alyangula,AU,-13.8483,136.4192,81.9,80,100,13.49,light rain
84,hope,US,33.6671,-93.5916,80.65,66,100,4.5,overcast clouds
85,severo-kurilsk,RU,50.6789,156.125,15.51,77,100,21.34,light snow
86,port elizabeth,ZA,-33.918,25.5701,76.32,96,20,3.44,thunderstorm with rain
87,muros,ES,42.7762,-9.0603,46.17,86,98,29.46,overcast clouds
88,turukhansk,RU,65.8167,87.9833,-38.76,89,12,4.32,few clouds
89,saskylakh,RU,71.9167,114.0833,-30.91,100,63,6.87,broken clouds
